source,name,display_name,company,address,phone,email,website,category,city,followers,rating,review_count,contact_available
google_maps,AROMAS HL,,,Cra. 5,+28960519,,,,,,3.0,0,True
google_maps,Perfumares Essencias S.A.S,,,"Sector La Luna, Dg. 23 #13-50",+3116204538,,https://www.perfumares.com/,,,,4.6,0,True
google_maps,Perfumería Royal,,,Cl. 44 #17c-40,+3158899330,,http://perfumeriaroyal.com.co/,,,,4.9,0,True
google_maps,Dulcee Aroma Cali,,,"C. La Fortuna, 760044, Esquina Calle 14, Cra. 5, C",+3215775230,,https://www.instagram.com/dulcee.aromacali/,,,,0.0,0,True
google_maps,Quim Aromas,,,,+3023347847,,,,,,5.0,0,True
google_maps,Puro Aroma Cali Distribuidor,,,Cl. 45 #10-63 PISO 3,+3245942628,,,,,,5.0,0,True
google_maps,Relojes Golden Store,,,"CC Puerto principe san andresito san jose, Cl. 10 #20 35 entrada 12 local 237",+3169551118,,https://www.goldenstorecolombia.com.co/,,,,4.9,0,True
google_maps,Joyería y Relojeria la Novena Cra 9 # 15- 52,,,Cra. 9 #15-52,+2824312,,,,,,3.9,0,True
google_maps,Joyeria Bauer Centro 93 - Distribuidor Oficial Rolex,,,"Centro Comercial Centro 93, Ak 15 #93-60 Local 215",+6012574442,,http://bauer.com.co/,,,,4.6,0,True
google_maps,Joyería el Dorado Bogotá,,,calle 13 # 12-74 Calle 13 #13,+3224546118,,,,,,4.8,0,True
google_maps,Joyería y Relojería El Chibcha Dorado,,,Cl. 12b #6-41,+12819987,,http://joyeriachibchadorado.com/,,,,4.3,0,True
google_maps,Taller de Joyería y Relojería ALUVION,,,"Prado Comercial, Cra. 55 #170 A 35 Local 3), CC",+3143596904,,,,,,4.8,0,True
google_maps,Relojería Ginebra,,,Cl. 17 #7-14,+3112635522,,https://www.relojeriaginebra.com/,,,,4.3,0,True
google_maps,Relojería RT San Andresito 38,,,Cl. 9 # 37 a 62 Local 1005,+3209577480,,https://relojeriart.now.site/,,,,4.8,0,True
google_maps,Relojería y Joyería Infinito,,,Cra. 80 #74-20,+3154054686,,http://facebook.com/relojeriayjoyeriainfinito,,,,4.7,0,True
google_maps,Centro Orient,,,Cra. 6 #12-31,+6013002524,,,,,,4.2,0,True
google_maps,Mundo Reloj Del Caribe Cia. S.A.S.,,,Av. 20 de Julio #75B 187 local 01,+3137374022,,https://mundoreloj.com.co/,,,,4.6,0,True
google_maps,Time Square Buenavista | Relojería en Barranquilla,,,"Centro Comercial Buenavista, Cl. 99 #53-115 piso 3",+53737612,,https://www.timesquare.com.co/,,,,4.3,0,True
google_maps,Relojes Barranquilla G,,,"local A23, Cl. 35 #44-65 Piso 2",+3223074859,,,,,,5.0,0,True
google_maps,RELOJERÍA Timewatch,,,Cl 72 #57-62,+53682454,,https://www.aiyellow.com/relojeriatimewatch/,,,,4.7,0,True
google_maps,"BIG TIME | Relojería - Gafas - Perfumes - Servicio técnico en Barranquilla, Centro Comercial Buenavista 2.",,,"Centro Comercial Buenavista II, Cl. 99 #52-53 Piso 2",+3007744372,,,,,,4.9,0,True
google_maps,WatchTimeOficial,,,Cl. 35 #N° 1A 140,+3013070597,,https://watchtimeoficial.com/,,,,5.0,0,True
google_maps,La Relojería,,,Cl. 85 #4545,+3001758594,,,,,,4.7,0,True
google_maps,"DE TODO RELOJ Taller de Relojeria, Gafas y Copias de LLaves, Cerrajeria",,,Cra. 43 #75-70,+3172816083,,http://silohtaller.blogspot.com.co/,,,,4.9,0,True
google_maps,Centro de Tecnología,,,Cl. 13 #19-52,+3042580035,,,,,,4.7,0,True
google_maps,Accesorios y Tecnologia Store / Local 106,,,Cra. 43 #50-12 LOCAL 106,+3007362803,,https://www.instagram.com/accesoriosytecnologiastore?igsh=MTNmNDN1a25qb3ZneQ%3D%3D&amp;utm_source=qr,,,,4.9,0,True
google_maps,TECHNOLOGY DIGITAL MOBILE TIENDA TECNOLOGICA,,,Av Ferrocarril de Occidente #6-76,+3106966446,,https://tiendadigitalsmart.com/,,,,4.7,0,True
google_maps,"Mayorista , Tienda de accesorios celular , estuches de table , vidrios templado ,suministro de computadores , iPhone",,,"Unilago Technology Shopping Mall, Ak 15 #78-33",+3155125577,,https://m.facebook.com/p/Aurora-Tecnologia-Unilago-100090245041695/,,,,5.0,0,True
google_maps,Accesorios para celulares en Bogotá - Tienda online de tecnologia,,,Cl. 13 #19-40 Local 226,+3142336253,,https://www.tiendaonlinedetecnologia.com/,,,,4.1,0,True
google_maps,Móviles & Tecnología Pink,,,Cra. 38 # 9 44 Local 138B,+3153605594,,http://www.movilesytecnologia.com/,,,,4.9,0,True
google_maps,"Unilago - cables, conectores , servicio técnico, portátiles, jbl , Bose , cargadores , forros",,,Ak 15 #78 33 local 2286 segundo piso,+3124084749,,https://www.facebook.com/profile.php?id=100090245041695,,,,4.4,0,True
google_maps,RINOCEL Tienda de tecnologia bogota,,,"Cra 10 No 12 - 15, 110110",+3004835649,,https://empresascolombiana.wixsite.com/accessorios2,,,,4.8,0,True
google_maps,ROCKET TECNOLOGIA Y ACCESORIOS,,,Cra. 91a #40 SUR 03 P1,+3213452712,,,,,,5.0,0,True
google_maps,Technology Store,,,Cl. 53 #4991 Local 105,+3225925929,,https://beacons.ai/technology.store,,,,3.4,0,True
